itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc09g011840.1.1,0.258390801,8.695131646,4.07E-05,0.003274045,SL2.40ch09,5120602,5121681,"Receptor lectin kinase-like protein (AHRD V1 *-*- Q570D3_ARATH); contains Interpro domain(s)  IPR001220  Legume lectin, beta chain ",AT5G01090.1 ,legume lectin family protein | chr5:33055-34116 FORWARD, 188 bits (478),4.00E-48, 122/339 (35%)
Solyc00g112190.2.1,-0.623575207,4.963491188,4.20E-05,0.003366495,,,,,,,,,
Solyc10g081230.1.1,1.025686234,3.505117034,4.47E-05,0.003562155,SL2.40ch10,61664244,61665533,"Presenilin (AHRD V1 ***- B6TCG9_MAIZE); contains Interpro domain(s)  IPR001108  Peptidase A22A, presenilin ",AT1G08700.1 ,presenilin family protein | chr1:2769885-2771348 REVERSE, 123 bits (308),3.00E-29, 60/70 (85%)
Solyc02g062270.2.1,-0.641348997,5.767749737,4.58E-05,0.003632816,SL2.40ch02,28450759,28453305,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc09g092690.2.1,-0.658218738,5.028432463,4.63E-05,0.003662028,SL2.40ch09,67003834,67008091,"Peptidyl-prolyl cis-trans isomerase (AHRD V1 ***- Q86M29_BRUMA); contains Interpro domain(s)  IPR001179  Peptidyl-prolyl cis-trans isomerase, FKBP-type ",AT5G48570.1 ,"ROF2, ATFKBP65 | peptidyl-prolyl cis-trans isomerase, putative / FK506-binding protein, putative | chr5:19690746-19693656 REVERSE", 827 bits (2135),0, 405/558 (72%)
Solyc05g005150.1.1,-0.857503533,3.619650457,4.70E-05,0.003696949,SL2.40ch05,135882,136994,F-box/Kelch repeat-containing F-box family protein (AHRD V1 ***- C4PVT9_ARATH); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller ,AT1G23390.1 ,kelch repeat-containing F-box family protein | chr1:8309449-8310633 REVERSE, 284 bits (726),8.00E-77, 151/369 (40%)
Solyc04g053130.2.1,-0.760852561,4.60941273,5.11E-05,0.004004536,SL2.40ch04,50873327,50875240,LHC-related protein (AHRD V1 **-- D8SUY7_SELML),AT2G21970.1 ,SEP2 | SEP2 (STRESS ENHANCED PROTEIN 2); chlorophyll binding | chr2:9357188-9357874 REVERSE, 199 bits (506),9.00E-52, 105/183 (57%)
Solyc03g121790.2.1,1.962070292,1.549639349,5.23E-05,0.004074615,SL2.40ch03,63898644,63899251,EPIDERMAL PATTERNING FACTOR-like protein 3 (AHRD V1 ***- EPFL3_ARATH),.,No significant hit found,.,.,.
Solyc09g065280.2.1,0.524677545,6.063027593,5.27E-05,0.00408574,SL2.40ch09,58944289,58948110,Pre-mRNA-splicing factor 18 (AHRD V1 ***- C1BJD5_OSMMO); contains Interpro domain(s)  IPR004098  Prp18 ,AT1G03140.1 ,splicing factor Prp18 family protein | chr1:754471-756223 REVERSE, 535 bits (1378), e-152, 289/421 (68%)
Solyc07g062850.2.1,1.28541221,2.715920793,5.52E-05,0.004262224,SL2.40ch07,62714809,62722725,Genomic DNA chromosome 3 BAC clone F4B12 (AHRD V1 ***- Q9LIL7_ARATH); contains Interpro domain(s)  IPR016024  Armadillo-type fold ,AT3G15180.1 ,proteasome-related | chr3:5111952-5115803 FORWARD, 318 bits (815),3.00E-87, 165/322 (51%)
Solyc07g062840.2.1,0.743421823,4.802174617,5.59E-05,0.004299496,SL2.40ch07,62708889,62711033,NAC domain protein IPR003441 (AHRD V1 ***- B9N1D6_POPTR); contains Interpro domain(s)  IPR003441  No apical meristem (NAM) protein ,AT5G53950.1 ,"CUC2, ANAC098 | CUC2 (CUP-SHAPED COTYLEDON 2); transcription factor | chr5:21901966-21903795 REVERSE", 340 bits (871),1.00E-93, 208/387 (53%)
Solyc02g082170.1.1,-0.946610043,3.912348786,5.64E-05,0.004320214,SL2.40ch02,40455811,40457046,Purine permease (AHRD V1 *--* B6TET5_MAIZE); contains Interpro domain(s)  IPR004853  Protein of unknown function DUF250 ,AT1G30840.1 ,ATPUP4 | ATPUP4; purine transmembrane transporter | chr1:10974581-10975729 FORWARD, 377 bits (968), e-105, 204/334 (61%)
Solyc04g051560.1.1,-1.281767602,2.465447107,5.83E-05,0.004440234,SL2.40ch04,49999424,50001888,Unknown Protein (AHRD V1),AT4G39440.1 ,unknown protein | chr4:18345685-18347227 FORWARD, 399 bits (1026), e-111, 203/388 (52%)
Solyc01g100310.2.1,0.458092372,6.974015712,5.88E-05,0.004444803,SL2.40ch01,82140047,82141429,Calmodulin-binding protein (AHRD V1 *-*- D7L4F9_ARALY); contains Interpro domain(s)  IPR012442  Protein of unknown function DUF1645 ,AT3G62630.1 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1645 (InterPro:IPR012442); BEST Arabidopsis thaliana protein match is: calmodulin-binding protein (TAIR:AT2G15760.1); Has 207 Blast hits to 197 proteins in 50 species: Archae - 3; Bacteria - 4; Metazoa - 52; Fungi - 9; Plants - 91; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink). | chr3:23163937-23165079 REVERSE, 189 bits (480),1.00E-48, 118/214 (55%)
Solyc07g062260.2.1,-0.750119582,4.561671025,5.88E-05,0.004444803,SL2.40ch07,62262206,62265340,"BES1/BZR1 homolog protein 4 (AHRD V1 **-- BEH4_ARATH); contains Interpro domain(s)  IPR008540  BZR1, transcriptional repressor ",AT1G78700.1 ,brassinosteroid signalling positive regulator-related | chr1:29599854-29601539 FORWARD, 353 bits (906),9.00E-98, 223/327 (68%)
Solyc11g069480.1.1,0.740338103,4.413082212,6.18E-05,0.004647578,SL2.40ch11,51157067,51160290,"UPF0497 membrane protein At2g28370 (AHRD V1 ***- U4977_ARATH); contains Interpro domain(s)  IPR006702  Uncharacterised protein family UPF0497, trans-membrane plant ",AT2G28370.1 ,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0497, trans-membrane plant (InterPro:IPR006702); BEST Arabidopsis thaliana protein match is: integral membrane protein, putative (TAIR:AT2G37200.1); Has 100 Blast hits to 100 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 100; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr2:12132092-12133447 FORWARD", 254 bits (648),3.00E-68, 131/179 (73%)
Solyc09g061860.2.1,-0.535198245,5.932340043,6.24E-05,0.004669703,SL2.40ch09,56137404,56149985,"Sterol 3-beta-glucosyltransferase (AHRD V1 ***- B6U4Q7_MAIZE); contains Interpro domain(s)  IPR004276  Glycosyl transferase, family 28 ",AT3G07020.1 ,UDP-glucose:sterol glucosyltransferase (UGT80A2) | chr3:2217841-2221590 REVERSE, 848 bits (2190),0, 410/535 (76%)
Solyc09g091710.1.1,0.596319824,5.467568707,6.28E-05,0.0046717,SL2.40ch09,66293917,66295125,F-box family protein (AHRD V1 ***- B9HCS6_POPTR); contains Interpro domain(s)  IPR006527  F-box associated ,AT3G23880.1 ,F-box family protein | chr3:8622061-8623155 REVERSE, 164 bits (414),1.00E-40, 116/365 (31%)
Solyc01g094460.2.1,0.551820978,8.014063778,6.29E-05,0.0046717,SL2.40ch01,77689811,77694407,AT-hook motif nuclear localized protein 1 (AHRD V1 ***- O04696_PEA); contains Interpro domain(s)  IPR005175  Protein of unknown function DUF296 ,AT2G45850.2 ,DNA-binding family protein | chr2:18871901-18873457 REVERSE, 278 bits (710),4.00E-75, 175/360 (48%)
Solyc08g006730.1.1,2.383035676,1.303595252,6.36E-05,0.004701097,SL2.40ch08,1285638,1286318,N-acetyltransferase (AHRD V1 ***- B6SUK9_MAIZE); contains Interpro domain(s)  IPR000182  GCN5-related N-acetyltransferase ,AT2G39030.1 ,GCN5-related N-acetyltransferase (GNAT) family protein | chr2:16298260-16298946 FORWARD, 152 bits (384),2.00E-37, 77/209 (36%)
Solyc02g080210.2.1,1.370133596,3.625817722,6.43E-05,0.004730554,SL2.40ch02,39065278,39076087,"Pectinesterase (AHRD V1 ***- B9RXQ4_RICCO); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic ",AT1G11580.1 ,"ATPMEPCRA, PMEPCRA | PMEPCRA (METHYLESTERASE PCR A); enzyme inhibitor/ pectinesterase | chr1:3888730-3890649 FORWARD", 662 bits (1709),0, 328/560 (58%)
Solyc11g006060.1.1,-0.566755653,6.838976859,6.48E-05,0.004747492,SL2.40ch11,860023,861378,Homology to unknown gene (AHRD V1 ***- Q00S02_OSTTA),AT3G04550.1 ,unknown protein | chr3:1225961-1227310 FORWARD, 411 bits (1056), e-115, 230/461 (49%)
Solyc06g074570.1.1,-0.651674267,6.018868454,6.58E-05,0.004805349,SL2.40ch06,42527661,42528833,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc07g062860.2.1,0.629431494,6.062993757,6.65E-05,0.004828078,SL2.40ch07,62724437,62728970,Genomic DNA chromosome 3 BAC clone F4B12 (AHRD V1 ***- Q9LIL7_ARATH),AT3G15180.1 ,proteasome-related | chr3:5111952-5115803 FORWARD, 185 bits (469),1.00E-47, 88/163 (53%)
Solyc05g005600.1.1,1.632564113,2.180605435,6.67E-05,0.004828078,SL2.40ch05,426812,431103,"Metal-dependent phosphohydrolase HD domain-containing protein (AHRD V1 **-- D7MJA0_ARALY); contains Interpro domain(s)  IPR006674  Metal-dependent phosphohydrolase, HD region, subdomain ",AT5G40290.1 ,metal-dependent phosphohydrolase HD domain-containing protein | chr5:16105259-16108501 REVERSE, 337 bits (864),3.00E-93, 163/230 (70%)
Solyc03g121900.1.1,-0.713119861,5.20297274,6.71E-05,0.004834824,SL2.40ch03,63976596,63976916,PVR3-like protein (AHRD V1 ***- B6TYX6_MAIZE); contains Interpro domain(s)  IPR003612  Plant lipid transfer protein/seed storage/trypsin-alpha amylase inhibitor ,AT5G48490.1 ,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein | chr5:19647932-19648237 REVERSE, 83.2 bits (204),3.00E-17, 40/101 (39%)
Solyc09g074470.2.1,0.49660824,7.561324551,7.16E-05,0.005137188,SL2.40ch09,61759131,61761034,Kinase interacting family protein (AHRD V1 ***- D7KCF2_ARALY); contains Interpro domain(s)  IPR011684  KIP1-like ,AT1G03470.2 ,kinase interacting family protein | chr1:866217-867493 REVERSE, 167 bits (422),9.00E-42, 109/262 (41%)
Solyc01g006400.2.1,-0.625595745,8.19624252,7.30E-05,0.005214041,SL2.40ch01,1021151,1023144,Cysteine-rich extensin-like protein-4 (AHRD V1 *-*- Q08197_TOBAC),.,No significant hit found,.,.,.
Solyc11g062190.1.1,0.430998399,6.36003651,7.38E-05,0.00524935,SL2.40ch11,46162597,46164224,Mitochondrial ADP/ATP carrier proteins (AHRD V1 ***- Q2UU95_ASPOR); contains Interpro domain(s)  IPR002113  Adenine nucleotide translocator 1 ,AT5G13490.2 ,AAC2 | AAC2 (ADP/ATP carrier 2); ATP:ADP antiporter/ binding | chr5:4336034-4337379 FORWARD, 617 bits (1592), e-177, 321/384 (83%)
Solyc08g083220.1.1,-1.006855307,3.197436128,7.44E-05,0.005255604,SL2.40ch08,62915588,62916346,Unknown Protein (AHRD V1),AT1G64690.1 ,unknown protein | chr1:24038069-24038890 FORWARD, 125 bits (315),2.00E-29, 100/256 (39%)
Solyc06g051210.2.1,0.57276834,5.936141563,7.45E-05,0.005255604,SL2.40ch06,30886606,30892332,Bromodomain-containing protein (AHRD V1 ***- B9R8P3_RICCO); contains Interpro domain(s)  IPR001487  Bromodomain ,AT1G20670.1 ,DNA-binding bromodomain-containing protein | chr1:7164537-7167933 REVERSE, 412 bits (1059), e-115, 306/759 (40%)
Solyc02g082260.2.1,-0.522305105,6.530274102,7.62E-05,0.005356097,SL2.40ch02,40528275,40531424,"Hydroxy-methylglutaryl-coenzyme A reductase (AHRD V1 **** O48624_TOBAC); contains Interpro domain(s)  IPR004554  Hydroxymethylglutaryl-CoA reductase, class I, catalytic ",AT1G76490.1 ,"HMG1, HMGR1 | HMG1 (HYDROXY METHYLGLUTARYL COA REDUCTASE 1); hydroxymethylglutaryl-CoA reductase | chr1:28695801-28698206 FORWARD", 869 bits (2246),0, 427/609 (70%)
Solyc01g007330.2.1,-0.427598702,9.805426236,7.76E-05,0.005430435,SL2.40ch01,1851938,1853783,"Ribulose bisphosphate carboxylase large chain (AHRD V1 ***- RBL_SOLLC); contains Interpro domain(s)  IPR000685  Ribulose bisphosphate carboxylase, large subunit, C-terminal ",ATCG00490.1 ,RBCL | large subunit of RUBISCO. Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. | chrC:54958-56397 FORWARD, 916 bits (2368),0, 445/476 (93%)
Solyc08g078560.2.1,2.109330429,1.128452864,7.79E-05,0.005434655,SL2.40ch08,59515096,59516344,Unknown Protein (AHRD V1),AT4G17310.1 ,unknown protein | chr4:9686466-9686848 REVERSE, 109 bits (273),3.00E-25, 62/104 (59%)
Solyc01g087720.2.1,0.486578642,7.225020211,7.92E-05,0.005501614,SL2.40ch01,74386246,74416833,"Structural maintenance of chromosomes family protein (AHRD V1 ***- D7M7H7_ARALY); contains Interpro domain(s)  IPR003395  RecF/RecN/SMC protein, N-terminal ",AT5G15920.1 ,structural maintenance of chromosomes (SMC) family protein (MSS2) | chr5:5196210-5199559 FORWARD, 1391 bits (3600),0, 678/1042 (65%)
Solyc06g048960.2.1,0.588563723,5.883440177,8.10E-05,0.005604976,SL2.40ch06,28551172,28563656,Ribonuclease 3-like protein 3 (AHRD V1 *-** RTL3_ORYSJ); contains Interpro domain(s)  IPR000999  Ribonuclease III ,AT3G03300.1 ,"DCL2, ATDCL2 | DCL2 (DICER-LIKE 2); ATP binding / ATP-dependent helicase/ RNA binding / double-stranded RNA binding / helicase/ nucleic acid binding / ribonuclease III | chr3:768020-774833 REVERSE", 1506 bits (3899),0, 754/1374 (54%)
Solyc08g077170.2.1,1.04391707,3.132123915,8.21E-05,0.005654299,SL2.40ch08,58247937,58253733,"Peptide transporter-like protein (AHRD V1 **-* Q9SVS9_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region ",AT1G32450.1 ,NRT1.5 | NRT1.5 (NITRATE TRANSPORTER 1.5); nitrate transmembrane transporter/ transporter | chr1:11715337-11719807 REVERSE, 845 bits (2182),0, 410/600 (68%)
Solyc02g084900.2.1,0.992539178,5.179813896,8.53E-05,0.005840601,SL2.40ch02,42534523,42536479,"Cell division protease ftsH homolog (AHRD V1 *--- FTSH_BACPE); contains Interpro domain(s)  IPR003959  ATPase, AAA-type, core ",AT2G18193.1 ,AAA-type ATPase family protein | chr2:7917621-7919184 REVERSE, 525 bits (1352), e-149, 254/456 (55%)
Solyc07g045090.2.1,1.134788873,2.40926377,8.55E-05,0.005840601,SL2.40ch07,55529949,55531720,"Alcohol dehydrogenase zinc-binding domain protein (AHRD V1 **-* D2QM87_SPILD); contains Interpro domain(s)  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing ",AT5G16970.1 ,AT-AER | AT-AER (alkenal reductase); 2-alkenal reductase | chr5:5576291-5578001 REVERSE, 242 bits (617),3.00E-64, 139/338 (41%)
Solyc05g015980.2.1,0.304738933,8.438222289,8.70E-05,0.005921331,SL2.40ch05,13141497,13144413,Unknown Protein (AHRD V1),AT5G13100.1 ,unknown protein | chr5:4156789-4158235 FORWARD, 452 bits (1162), e-127, 241/355 (67%)
Solyc08g007420.2.1,0.96861837,3.504614922,8.92E-05,0.00605054,SL2.40ch08,1979675,1983199,L-lactate dehydrogenase (AHRD V1 **** Q96570_SOLLC); contains Interpro domain(s)  IPR011304  L-lactate dehydrogenase ,AT4G17260.1 ,"L-lactate dehydrogenase, putative | chr4:9674057-9675309 FORWARD", 549 bits (1415), e-157, 274/346 (79%)
Solyc09g074970.2.1,1.018056636,3.887041976,9.12E-05,0.006159575,SL2.40ch09,62268508,62273326,"Thiamin pyrophosphokinase 1 (AHRD V1 **** B6SUI9_MAIZE); contains Interpro domain(s)  IPR016966  Thiamin pyrophosphokinase, eukaryotic ",AT1G02880.3 ,TPK1 | TPK1 (THIAMIN PYROPHOSPHOKINASE1); thiamin diphosphokinase | chr1:643063-644485 REVERSE, 357 bits (916),4.00E-99, 176/258 (68%)
Solyc01g090270.2.1,-0.440111232,6.911321584,9.46E-05,0.00636466,SL2.40ch01,75692316,75698111,Bzip-like transcription factor-like (AHRD V1 *-*- Q7X997_ORYSJ); contains Interpro domain(s)  IPR006867  Protein of unknown function DUF632 ,AT3G60320.1 ,DNA binding | chr3:22292073-22295228 REVERSE, 869 bits (2245),0, 516/873 (59%)
Solyc11g042930.1.1,0.642650631,8.122918229,9.67E-05,0.006472963,SL2.40ch11,34423755,34426084,"SKP1 (AHRD V1 ***- Q68GS0_TOBAC); contains Interpro domain(s)  IPR016897  E3 ubiquitin ligase, SCF complex, Skp subunit ",AT1G75950.1 ,"SKP1, ASK1, ATSKP1, SKP1A, UIP1 | SKP1 (S PHASE KINASE-ASSOCIATED PROTEIN 1); protein binding / ubiquitin-protein ligase | chr1:28516715-28517454 FORWARD", 239 bits (610),5.00E-64, 125/159 (78%)
Solyc07g061750.2.1,-1.578518984,1.490544067,9.70E-05,0.006472963,SL2.40ch07,61932745,61935454,Ankyrin repeat family protein-like (AHRD V1 **-- Q6ERI3_ORYSJ); contains Interpro domain(s)  IPR002110  Ankyrin ,AT4G03500.1 ,ankyrin repeat family protein | chr4:1553453-1556571 FORWARD, 165 bits (417),9.00E-41, 154/555 (27%)
Solyc09g018340.2.1,-0.716714637,4.106380131,9.77E-05,0.006496768,SL2.40ch09,14484996,14489495,Protein MON2 homolog (AHRD V1 **-- MON2_HUMAN),AT5G27970.1 ,binding | chr5:10004720-10015429 FORWARD, 337 bits (864),7.00E-93, 203/349 (58%)
Solyc10g006810.2.1,0.558118223,4.971578163,9.89E-05,0.006553033,SL2.40ch10,1248883,1253524,Cyclic nucleotide-gated channel (AHRD V1 ***- B9I014_POPTR),.,No significant hit found,.,.,.
Solyc09g090130.2.1,1.253286599,3.216171347,9.99E-05,0.006591112,SL2.40ch09,65023341,65025440,Myb-related transcription factor (AHRD V1 **** A7ULI0_DATME); contains Interpro domain(s)  IPR015495  Myb transcription factor ,AT3G23250.1 ,"MYB15, ATY19, ATMYB15 | MYB15 (MYB DOMAIN PROTEIN 15); DNA binding / transcription factor | chr3:8309492-8310624 FORWARD", 262 bits (669),2.00E-70, 142/286 (49%)
Solyc11g006230.1.1,0.766827967,7.592429412,0.000101672,0.00668396,SL2.40ch11,981174,984561,Calcium-responsive transactivator (AHRD V1 *--- CREST_XENLA); contains Interpro domain(s)  IPR007726  SSXT ,AT5G28640.1 ,"AN3, GIF, GIF1 | AN3 (ANGUSTIFOLIA 3); protein binding / transcription coactivator | chr5:10647831-10649620 REVERSE", 177 bits (448),6.00E-45, 140/228 (61%)
Solyc03g097820.1.1,-0.469244138,6.716117955,0.000102765,0.006726531,SL2.40ch03,53591976,53594125,Transcription factor (AHRD V1 *-** D6MKM4_9ASPA); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ,AT5G50915.2 ,basic helix-loop-helix (bHLH) family protein | chr5:20710764-20712252 REVERSE, 194 bits (493),7.00E-50, 137/340 (40%)
Solyc12g011010.1.1,-0.538077348,7.053138211,0.000103101,0.006726531,SL2.40ch12,3870609,3872065,Meiosis 5 (AHRD V1 *-*- B6T5X0_MAIZE),AT2G42840.1 ,PDF1 | PDF1 (PROTODERMAL FACTOR 1) | chr2:17826327-17827426 REVERSE, 179 bits (453),4.00E-45, 107/194 (55%)
Solyc03g111310.2.1,0.680844072,5.407965191,0.000104574,0.006796896,SL2.40ch03,55978825,55983439,"AKIN gamma (AHRD V1 **-- Q7XYY0_MEDTR); contains Interpro domain(s)  IPR000644  Cystathionine beta-synthase, core ",AT3G48530.1 ,KING1 | KING1 (SNF1-RELATED PROTEIN KINASE REGULATORY SUBUNIT GAMMA 1) | chr3:17987559-17989592 FORWARD, 553 bits (1425), e-158, 276/417 (66%)
Solyc04g054190.2.1,-0.470196465,6.650949036,0.000105508,0.006831824,SL2.40ch04,51052577,51062636,ABC-1 domain protein (AHRD V1 **-- D7E596_NOSA0); contains Interpro domain(s)  IPR004147  ABC-1 ,AT5G64940.2 ,"ATATH13, ATH13 | ATATH13; transporter | chr5:25949116-25953326 FORWARD", 1140 bits (2950),0, 595/769 (77%)
Solyc07g065230.1.1,1.092838549,3.35080379,0.000106209,0.006851506,SL2.40ch07,64304320,64304910,C2 domain-containing protein (AHRD V1 ***- D7MKI6_ARALY),AT5G55530.2 ,C2 domain-containing protein | chr5:22494439-22495656 FORWARD, 123 bits (308),9.00E-29, 89/197 (45%)
Solyc00g024150.2.1,-0.556040905,6.288962176,0.000108303,0.00696048,,,,,,,,,
Solyc03g007240.2.1,-0.320524117,8.56423506,0.00010889,0.006963444,SL2.40ch03,1795042,1800986,Spermidine synthase 1 (AHRD V1 **** B6TA19_MAIZE); contains Interpro domain(s)  IPR001045  Spermine synthase ,AT5G53120.5 ,"SPDS3, SPMS | SPDS3 (SPERMIDINE SYNTHASE 3); spermidine synthase/ spermine synthase | chr5:21535429-21537653 FORWARD", 548 bits (1413), e-156, 279/347 (80%)
Solyc01g090240.2.1,-0.530843655,5.279889644,0.000109158,0.006963444,SL2.40ch01,75673551,75676761,Protein kinase 5 (AHRD V1 ***- Q8W4K8_ARATH); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT2G44830.1 ,"protein kinase, putative | chr2:18490398-18492779 FORWARD", 945 bits (2442),0, 485/687 (70%)
Solyc04g082840.2.1,0.394636219,7.022894991,0.000112778,0.007167831,SL2.40ch04,63962851,63964812,Cell division protein kinase 2 (AHRD V1 **** D0P087_PHYIN); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT1G20930.1 ,CDKB2;2 | CDKB2;2 (CYCLIN-DEPENDENT KINASE B2;2); cyclin-dependent protein kinase/ kinase | chr1:7292752-7294664 REVERSE, 539 bits (1388), e-153, 257/307 (83%)
Solyc12g033090.1.1,-1.472651823,1.761688716,0.000113308,0.007175071,SL2.40ch12,22380426,22380925,50S ribosomal protein L23 (AHRD V1 ***- D1M7Q7_PARAR); contains Interpro domain(s)  IPR013025  Ribosomal protein L25/L23 ,ATCG01300.1 ,"RPL23.2 | One of two chloroplast genes that encode  chloroplast ribosomal protein L23, a constituent of the large subunit of the ribosomal complex | chrC:152506-152787 FORWARD", 163 bits (413),3.00E-41, 80/93 (86%)
Solyc07g065270.1.1,-0.503707836,5.568162307,0.000114089,0.007198052,SL2.40ch07,64321335,64322951,GRAS family transcription factor (AHRD V1 **-* B9IAQ7_POPTR); contains Interpro domain(s)  IPR005202  GRAS transcription factor ,AT5G48150.2 ,PAT1 | PAT1 (phytochrome a signal transduction 1); signal transducer/ transcription factor | chr5:19522497-19524053 REVERSE, 621 bits (1602), e-178, 302/439 (68%)
